0 0,5495 0
736 1 0,9525
737 1 0,9525
738 1 0,9525
739 1 0,9525
740 1 0,9525
741 1 0,9525
742 1 0,9525
743 1 0,9525
744 1 0,9525
745 1 0,9525
746 1 0,9525
747 1 0,9525
748 1 0,9525
749 1 0,9525
750 1 0,9525
751 1 0,9525
752 1 0,9525
753 1 0,9525
754 1 0,9525
755 1 0,9525
756 1 0,9525
757 1 0,9525
758 1 0,9525
759 1 0,9525
760 1 0,9525
761 1 0,9525
762 1 0,9525
763 1 0,9525
764 1 0,9525
765 1 0,9525
766 1 0,9525
767 1 0,9525
768 1 0,9525
769 1 0,9525
770 1 0,9525
771 1 0,9525
772 1 0,9525
773 1 0,9525
774 1 0,9525
775 1 0,9525
776 1 0,9525
777 1 0,9525
778 1 0,9525
779 1 0,9525
780 1 0,9525
781 1 0,9525
782 1 0,9525
783 1 0,9525
784 1 0,9525
785 1 0,9525
786 1 0,9525
787 1 0,9525
788 1 0,9525
789 1 0,9525
790 1 0,9525
791 1 0,9525
792 1 0,9525
793 1 0,9525
794 1 0,9525
795 1 0,9525
796 1 0,9525
797 1 0,9525
798 1 0,9525
799 1 0,9525
800 1 0,9525
801 1 0,9525
802 1 0,9525
803 1 0,9525
804 1 0,9525
805 1 0,9525
806 1 0,9525
807 1 0,9525
808 1 0,9525
809 1 0,9525
810 1 0,9525
811 1 0,9525
812 1 0,9525
813 1 0,9525
814 1 0,9525
815 1 0,9525
816 1 0,9525
817 1 0,9525
818 1 0,9525
819 1 0,9525
820 1 0,9525
821 1 0,9525
822 1 0,9525
823 1 0,9525
824 1 0,9525
825 1 0,9525
826 1 0,9525
827 1 0,9525
828 1 0,9525
829 1 0,9525
830 1 0,9525
831 1 0,9525
832 1 0,9525
833 1 0,9525
834 1 0,9525
835 1 0,9525
836 1 0,9525
837 1 0,9525
838 1 0,9525
839 1 0,9525
840 1 0,9525
841 1 0,9525
842 1 0,9525
843 1 0,9525
844 1 0,9525
845 1 0,9525
846 1 0,9525
847 1 0,9525
848 1 0,9525
849 1 0,9525
850 1 0,9525
851 1 0,9525
852 1 0,9525
853 1 0,9525
854 1 0,9525
855 1 0,9525
856 1 0,9525
857 1 0,9525
858 1 0,9525
859 1 0,9525
860 1 0,9525
861 1 0,9525
862 1 0,9525
863 1 0,9525
864 1 0,9525
865 1 0,9525
866 1 0,9525
867 1 0,9525
868 1 0,9525
869 1 0,9525
870 1 0,9525
871 1 0,9525
872 1 0,9525
873 1 0,9525
874 1 0,9525
875 1 0,9525
876 1 0,9525
877 1 0,9525
878 1 0,9525
879 1 0,9525
880 1 0,9525
881 1 0,9525
882 1 0,9525
883 1 0,9525
884 1 0,9525
885 1 0,9525
886 1 0,9525
